,futbin_id,ID,name,rating,price,date
0,199042,979,CharlesAránguiz,83,0,2020-09-30
1,199042,979,CharlesAránguiz,83,0,2020-10-01
2,199042,979,CharlesAránguiz,83,2495,2020-10-02
3,199042,979,CharlesAránguiz,83,3042,2020-10-03
4,199042,979,CharlesAránguiz,83,3135,2020-10-04
5,199042,979,CharlesAránguiz,83,2687,2020-10-05
6,199042,979,CharlesAránguiz,83,2284,2020-10-06
7,199042,979,CharlesAránguiz,83,2642,2020-10-07
8,199042,979,CharlesAránguiz,83,2163,2020-10-08
9,199042,979,CharlesAránguiz,83,2448,2020-10-09
10,199042,979,CharlesAránguiz,83,2680,2020-10-10
11,199042,979,CharlesAránguiz,83,2774,2020-10-11
12,199042,979,CharlesAránguiz,83,2356,2020-10-12
13,199042,979,CharlesAránguiz,83,3288,2020-10-13
14,199042,979,CharlesAránguiz,83,2967,2020-10-14
15,199042,979,CharlesAránguiz,83,1923,2020-10-15
16,199042,979,CharlesAránguiz,83,1885,2020-10-16
17,199042,979,CharlesAránguiz,83,2083,2020-10-17
18,199042,979,CharlesAránguiz,83,2226,2020-10-18
19,199042,979,CharlesAránguiz,83,1843,2020-10-19
20,199042,979,CharlesAránguiz,83,2100,2020-10-20
21,199042,979,CharlesAránguiz,83,2071,2020-10-21
22,199042,979,CharlesAránguiz,83,1352,2020-10-22
23,199042,979,CharlesAránguiz,83,1410,2020-10-23
24,199042,979,CharlesAránguiz,83,1250,2020-10-24
25,199042,979,CharlesAránguiz,83,1217,2020-10-25
26,199042,979,CharlesAránguiz,83,1191,2020-10-26
27,199042,979,CharlesAránguiz,83,1320,2020-10-27
28,199042,979,CharlesAránguiz,83,1280,2020-10-28
29,199042,979,CharlesAránguiz,83,1094,2020-10-29
30,199042,979,CharlesAránguiz,83,1074,2020-10-30
31,199042,979,CharlesAránguiz,83,1100,2020-10-31
32,199042,979,CharlesAránguiz,83,1177,2020-11-01
33,199042,979,CharlesAránguiz,83,1124,2020-11-02
34,199042,979,CharlesAránguiz,83,1288,2020-11-03
35,199042,979,CharlesAránguiz,83,1442,2020-11-04
36,199042,979,CharlesAránguiz,83,1087,2020-11-05
37,199042,979,CharlesAránguiz,83,1120,2020-11-06
